title,directions,NER
Three Bean Salad,"[""Mix together all of sugar, salad oil, vinegar and water until sugar is dissolved."", ""Pour over beans and let stand overnight.""]","[""kidney beans"", ""vinegar"", ""sugar"", ""salad oil"", ""water"", ""green beans"", ""yellow beans""]"
Dave'S Corn Casserole,"[""In a bowl, mix corns, sour cream, corn bread mix and melted margarine."", ""Pour into a greased 8 x 8 x 2-inch pan."", ""Bake at 350\u00b0 for 50 minutes.""]","[""sour cream"", ""corn bread"", ""margarine"", ""whole kernel corn"", ""cream-style""]"
Casserole Italiano,"[""Brown beef with onion and seasonings and combine in a 1 1/2-quart casserole with soup, water and noodles."", ""Place cheese around edges."", ""Bake at 350\u00b0 for 30 minutes.""]","[""oregano"", ""noodles"", ""onion"", ""tomato soup"", ""water"", ""cheese"", ""ground beef"", ""salt""]"
Corned Beef And Cabbage Casserole,"[""Combine all ingredients and cook uncovered over low heat until cabbage is crisp-tender, about 20 minutes.""]","[""cabbage"", ""onion"", ""cream of celery soup"", ""corned beef"", ""dry mustard""]"
Crab Cakes,"[""Mix together and carefully add 1 pound lump crab meat."", ""Mix ahead of time and refrigerate so they will hold together better.""]","[""dry mustard"", ""egg"", ""mayonnaise"", ""worcestershire sauce""]"
Taco Dip,"[""Mix together cream cheese and mayonnaise."", ""Spread on to a large platter or two dinner plates."", ""Freeze for 15 minutes. Spread taco sauce evenly on top."", ""Layer remaining ingredients in the written order."", ""Serve with tortilla chips.""]","[""tomato"", ""green onions"", ""mozzarella cheese"", ""cheddar cheese"", ""cream cheese"", ""taco sauce"", ""tortilla chips"", ""black olives"", ""mayonnaise"", ""green pepper""]"
Bonbon Cookies,"[""Cream together the butter and peanut butter."", ""Add the remaining ingredients."", ""Mix and form into balls (best to mix with your hands) and chill several hours, even a day.""]","[""nut meats"", ""vanilla"", ""graham cracker crumbs"", ""peanut butter"", ""coconut"", ""butter""]"
Forever Amber,"[""Mix together."", ""Spread in a buttered pan."", ""Bake for 30 minutes at 275\u00b0."", ""While still hot, sift 1 box of powdered sugar into it. Drop by teaspoons on waxed paper."", ""Let dry."", ""If it seems set on bottom, turn over and let it continue to dry.""]","[""condensed milk"", ""vanilla"", ""pecans"", ""angel"", ""orange flavoring"", ""orange sliced candy""]"
Gooey Coffee Cake,"[""Mix together cake mix, 2 eggs and melted oleo."", ""Put in greased 9 x 13-inch pan."", ""Put chopped nuts on top of mixture."", ""Mix together 2 eggs, cream cheese and powdered sugar."", ""Add on top of first mixture."", ""Bake 15 minutes at 325\u00b0, then bake 20 minutes at 350\u00b0.""]","[""oleo"", ""eggs"", ""powdered sugar"", ""cream cheese"", ""nuts"", ""yellow cake""]"
Phylis' Pineapple-Banana Salad,"[""Drain pineapple and reserve juice."", ""Cut bananas in chunks like pineapple.""]","[""pineapple"", ""bananas""]"
Chicken Casserole,"[""Mix all ingredients together in baking dish."", ""Cover and bake at 350\u00b0 for 2 1/2 hours."", ""Bake the last 45 minutes, uncovered, to brown top of chicken.""]","[""cream of chicken soup"", ""cream of mushroom soup"", ""cream of celery soup"", ""rice"", ""butter"", ""chicken""]"
Pineapple Nut Pie,"[""Cream the cream cheese; add the milk and beat smooth."", ""Add lemon juice, pineapple and nuts."", ""Beat well."", ""Pour into graham cracker crust and chill."", ""Slice in small servings (very rich) and top with dollop of Cool Whip.""]","[""condensed milk"", ""lemon juice"", ""cream cheese"", ""nuts"", ""pineapple""]"
Annie'S Diabetic Candy,"[""Mix all ingredients, form in small balls and roll in chopped peanuts."", ""Keep refrigerated.""]","[""butter"", ""peanut butter"", ""vanilla"", ""cream cheese""]"
Frozen Peach Mousse,"[""Puree peaches in a blender."", ""Add remaining ingredients."", ""Blend and pour in container and freeze.""]","[""sour cream"", ""sugar"", ""vanilla"", ""lemon juice"", ""peaches""]"
Strawberry Pie,"[""*Can also use blueberries or cherries.""]","[""cream cheese"", ""sugar"", ""frozen strawberries""]"
Blueberry Surprise,"[""Mix ingredients and press 2/3 mixture in bottom of square baking dish."", ""(A bowl that has the same diameter top and bottom may be used, 1 1/2 to 2-quart size.)""]","[""graham cracker crumbs"", ""granulated sugar"", ""margarine""]"
Moist Devil'S Food Cake,"[""Sift together the flour, soda and salt; set aside."", ""Combine shortening and sugar in a bowl."", ""Beat until creamy."", ""Add egg yolks; beat well."", ""Combine cocoa, water and vanilla to make 1 cup; mix well."", ""Add to batter."", ""Add flour mixture alternately with milk."", ""Beat well after each addition; set aside."", ""Beat egg whites until stiff peaks form when beater is lifted."", ""Fold into batter. Bake in two 9-inch greased cake pans at 375\u00b0 for 30 minutes.""]","[""sugar"", ""vanilla"", ""shortening"", ""baking soda"", ""eggs"", ""water"", ""flour"", ""cocoa"", ""milk"", ""salt""]"
Dot'S Civil War Cake,"[""Combine and cook first 6 ingredients."", ""Bring to boil and boil 5 minutes; cool."", ""Add sifted, dry ingredients to apple mixture. Stir and blend only."", ""Add nuts."", ""Pour into greased and floured tube pan."", ""Bake 1 hour at 350\u00b0."", ""Serves 16.""]","[""sugar"", ""shortening"", ""nutmeg"", ""brown sugar"", ""cinnamon"", ""soda"", ""cloves"", ""raisins"", ""cold water"", ""flour"", ""nuts"", ""apples"", ""salt""]"
Potato Casserole,"[""Peel and dice potatoes; place in bowl of cold, salted water. Drain potatoes and dry on paper towels."", ""Mix 1/2 cup butter, onions, soup, sour cream and cheese; stir well."", ""Add potatoes to mixture and pour into a 2 1/2-quart casserole dish."", ""Crush cornflakes, mix with remaining butter."", ""Sprinkle cornflakes and butter on top of potato mixture."", ""Bake at 350\u00b0 for 50 minutes.""]","[""potatoes"", ""cream of chicken soup"", ""sour cream"", ""cheddar cheese"", ""onion"", ""cornflakes"", ""butter""]"
Dream Pie,"[""Mix vanilla wafer crumbs with butter.""]","[""vanilla wafers"", ""butter""]"
Divinity Fudge,"[""Stir well together the sugar, syrup and water."", ""Allow to boil without stirring until it forms a hard ball in cold water."", ""Pour this over stiffly beaten egg whites, beating constantly."", ""Cool; add vanilla and nuts."", ""Beat until cool and thick enough to set. Pour into a buttered platter or drop by teaspoons on waxed paper.""]","[""sugar"", ""vanilla"", ""egg whites"", ""cold water"", ""nuts"", ""white corn syrup""]"
Apple Crisp,"[""Mix 1/2 cup of sugar and cinnamon."", ""Spread on apples."", ""Mix 1/4 cup sugar, flour, salt, cornflake crumbs and oleo."", ""Spread mixture on apples.""]","[""oleo"", ""corn flake crumbs"", ""sugar"", ""cinnamon"", ""flour"", ""apples"", ""salt""]"
Sausage Balls,"[""Mix sausage and cheese together."", ""Add Bisquick and mix thoroughly."", ""Roll into medium size balls."", ""Bake at 350\u00b0 for 15 minutes or until golden brown.""]","[""bisquick"", ""cheddar cheese"", ""sausage""]"
Consomme Chicken,"[""Add enough liquid to chicken soup and consomme to make 4 cups of water."", ""Season with salt and pepper."", ""Cook at 350\u00b0 for 1 hour.""]","[""cream of chicken soup"", ""pepper"", ""rice"", ""consomme"", ""chicken"", ""salt""]"
Spanish Hamburgers,"[""Brown celery, onions and ground beef in butter."", ""Add vinegar, lemon juice, brown sugar, mustard, salt, pepper catsup and water. Simmer for 30 minutes.""]","[""vinegar"", ""pepper"", ""lemon juice"", ""brown sugar"", ""water"", ""celery"", ""catsup"", ""onions"", ""ground beef"", ""mustard"", ""butter"", ""salt""]"
